name,tags,time,out datagrams
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-01T00:00:00Z,0.02731997224365572
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-02T00:00:00Z,0.02747281164266126
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-03T00:00:00Z,0.027449467914094486
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-04T00:00:00Z,2.097325049296982
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-05T00:00:00Z,7.1016844068822875
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-06T00:00:00Z,6.732750360350223
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-07T00:00:00Z,6.67977045021005
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-08T00:00:00Z,6.983814842946244
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-09T00:00:00Z,6.93548230934928
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-10T00:00:00Z,6.508083226165979
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-11T00:00:00Z,6.30676874624914
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-12T00:00:00Z,6.598627864047497
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-13T00:00:00Z,6.7963492664394805
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-14T00:00:00Z,6.516053177779917
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-15T00:00:00Z,6.841938591767405
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-16T00:00:00Z,6.302257283361191
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-17T00:00:00Z,6.22419986175412
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-18T00:00:00Z,6.06337858206876
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-19T00:00:00Z,6.521011366437327
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-20T00:00:00Z,6.790530485093025
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-21T00:00:00Z,7.083410366565933
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-22T00:00:00Z,6.525049384055634
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-23T00:00:00Z,6.640992304044495
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-24T00:00:00Z,6.654825693640698
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-25T00:00:00Z,6.513616634248541
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-26T00:00:00Z,6.715702551654648
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-27T00:00:00Z,7.053281552747789
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-28T00:00:00Z,6.640769669227949
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-29T00:00:00Z,6.646141969950275
net,"host=eveticksuricata-VirtualBox,interface=all",2018-11-30T00:00:00Z,6.615039461698401
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-01T00:00:00Z,6.64218379736796
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-02T00:00:00Z,7.04716171419539
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-03T00:00:00Z,6.9852851187414275
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-04T00:00:00Z,7.132967903377937
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-05T00:00:00Z,7.089543903785136
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-06T00:00:00Z,7.019015907653892
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-07T00:00:00Z,6.936673580300477
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-08T00:00:00Z,7.086342711816283
net,"host=eveticksuricata-VirtualBox,interface=all",2018-12-09T00:00:00Z,5.2351321291384565
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-10T00:00:00Z,7.044357634115928
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-11T00:00:00Z,4.866806457291823
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-12T00:00:00Z,6.7252908870242365
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-13T00:00:00Z,6.852356299296953
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-14T00:00:00Z,7.082759083772716
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-15T00:00:00Z,6.951923834822934
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-16T00:00:00Z,6.8576715454604065
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-17T00:00:00Z,6.897625638985385
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-18T00:00:00Z,7.095871290670001
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-19T00:00:00Z,7.035149194369421
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-20T00:00:00Z,7.121442526148856
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-21T00:00:00Z,6.964388391900273
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-22T00:00:00Z,6.947874131944393
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-23T00:00:00Z,6.8487303990912105
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-24T00:00:00Z,6.94704351798269
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-25T00:00:00Z,6.919439099472775
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-26T00:00:00Z,7.67219616448041
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-27T00:00:00Z,7.11083356240359
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-28T00:00:00Z,6.5421909159593525
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-29T00:00:00Z,6.732644288783841
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-30T00:00:00Z,6.814528761038264
net,"host=eveticksuricata-VirtualBox,interface=all",2019-01-31T00:00:00Z,6.6871074272333475
net,"host=eveticksuricata-VirtualBox,interface=all",2019-02-01T00:00:00Z,6.455271918402761
net,"host=eveticksuricata-VirtualBox,interface=all",2019-02-02T00:00:00Z,6.552528928487251
net,"host=eveticksuricata-VirtualBox,interface=all",2019-02-03T00:00:00Z,3.859708169572038
